scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,note
ps_full,ps_full: naive-2000 vs never,9.4432,7.2565,11.5357,7.5987,11.2013,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: point-2000 vs naive-2000 (anchor),0.0844,-0.037,0.2219,-0.0187,0.1979,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: strict-2000 vs naive-2000 (anchor),-0.1609,-0.3628,0.0279,-0.3279,-0.0008,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: naive-512 vs never,8.4706,6.3107,10.569,6.6557,10.2208,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: point-512 vs naive-512,0.219,0.043,0.4281,0.0674,0.3914,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: strict-512 vs naive-512,-0.0255,-0.2945,0.2586,-0.2531,0.2115,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: naive-2000 vs never,4.057,3.8633,4.2503,3.8943,4.2198,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: point-2000 vs naive-2000 (anchor),-0.0023,-0.0906,0.0904,-0.0768,0.0753,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: strict-2000 vs naive-2000 (anchor),-0.2273,-0.3857,-0.0786,-0.3586,-0.1016,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: naive-512 vs never,2.406,2.1638,2.6477,2.201,2.6089,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: point-512 vs naive-512,0.1771,0.0206,0.3573,0.0437,0.3247,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: strict-512 vs naive-512,-0.0385,-0.2513,0.187,-0.2182,0.1503,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: naive-2000 vs never,2.4969,2.0242,2.9987,2.0951,2.9159,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: point-2000 vs naive-2000 (anchor),0.1982,0.0005,0.4607,0.0232,0.4138,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: strict-2000 vs naive-2000 (anchor),-0.2185,-0.6286,0.1862,-0.5573,0.1216,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: naive-512 vs never,1.1924,0.6951,1.6776,0.7758,1.6023,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: point-512 vs naive-512,0.6693,0.3414,1.0154,0.3909,0.9607,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: strict-512 vs naive-512,0.5729,0.0813,1.0594,0.1547,0.9823,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: naive-2000 vs never,0.2458,-0.3471,1.0044,-0.2784,0.8646,"descriptive by amendment (anchor or secondary cell), uncorrected"
