contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
ps_zero: atc-2000 vs naive-2000,0.5,primary,-0.2438,0.1237,True
ps_zero: atc-2000 vs naive-2000,0.2,sensitivity,-0.2438,0.1237,False
ps_zero: atc-2000 vs naive-2000,1.0,sensitivity,-0.2438,0.1237,True
unsw_zero: atc-2000 vs naive-2000,0.5,primary,-0.0732,0.1073,True
unsw_zero: atc-2000 vs naive-2000,0.2,sensitivity,-0.0732,0.1073,True
unsw_zero: atc-2000 vs naive-2000,1.0,sensitivity,-0.0732,0.1073,True
ton_zero: atc-2000 vs naive-2000,0.5,primary,-0.2706,0.1401,True
ton_zero: atc-2000 vs naive-2000,0.2,sensitivity,-0.2706,0.1401,False
ton_zero: atc-2000 vs naive-2000,1.0,sensitivity,-0.2706,0.1401,True
ps_full: atc-2000 vs naive-2000,0.5,primary,-2.5346,-0.6997,False
ps_full: atc-2000 vs naive-2000,0.2,sensitivity,-2.5346,-0.6997,False
ps_full: atc-2000 vs naive-2000,1.0,sensitivity,-2.5346,-0.6997,False
unsw_full: atc-2000 vs naive-2000,0.5,primary,-0.5154,-0.1016,False
unsw_full: atc-2000 vs naive-2000,0.2,sensitivity,-0.5154,-0.1016,False
unsw_full: atc-2000 vs naive-2000,1.0,sensitivity,-0.5154,-0.1016,True
ton_full: atc-2000 vs naive-2000,0.5,primary,-0.3948,-0.0677,True
ton_full: atc-2000 vs naive-2000,0.2,sensitivity,-0.3948,-0.0677,False
ton_full: atc-2000 vs naive-2000,1.0,sensitivity,-0.3948,-0.0677,True
ps_zero: doc-2000 vs naive-2000,0.5,primary,-0.2531,0.0883,True
ps_zero: doc-2000 vs naive-2000,0.2,sensitivity,-0.2531,0.0883,False
ps_zero: doc-2000 vs naive-2000,1.0,sensitivity,-0.2531,0.0883,True
unsw_zero: doc-2000 vs naive-2000,0.5,primary,-0.0388,0.1693,True
unsw_zero: doc-2000 vs naive-2000,0.2,sensitivity,-0.0388,0.1693,True
unsw_zero: doc-2000 vs naive-2000,1.0,sensitivity,-0.0388,0.1693,True
ton_zero: doc-2000 vs naive-2000,0.5,primary,-0.2484,0.1883,True
ton_zero: doc-2000 vs naive-2000,0.2,sensitivity,-0.2484,0.1883,False
ton_zero: doc-2000 vs naive-2000,1.0,sensitivity,-0.2484,0.1883,True
ps_full: doc-2000 vs naive-2000,0.5,primary,-3.5643,-1.3734,False
ps_full: doc-2000 vs naive-2000,0.2,sensitivity,-3.5643,-1.3734,False
ps_full: doc-2000 vs naive-2000,1.0,sensitivity,-3.5643,-1.3734,False
unsw_full: doc-2000 vs naive-2000,0.5,primary,-1.0828,-0.5638,False
unsw_full: doc-2000 vs naive-2000,0.2,sensitivity,-1.0828,-0.5638,False
unsw_full: doc-2000 vs naive-2000,1.0,sensitivity,-1.0828,-0.5638,False
ton_full: doc-2000 vs naive-2000,0.5,primary,-0.3451,-0.0367,True
ton_full: doc-2000 vs naive-2000,0.2,sensitivity,-0.3451,-0.0367,False
ton_full: doc-2000 vs naive-2000,1.0,sensitivity,-0.3451,-0.0367,True
ps_zero: enscal-2000 vs naive-2000,0.5,primary,0.5651,0.8776,False
ps_zero: enscal-2000 vs naive-2000,0.2,sensitivity,0.5651,0.8776,False
ps_zero: enscal-2000 vs naive-2000,1.0,sensitivity,0.5651,0.8776,True
unsw_zero: enscal-2000 vs naive-2000,0.5,primary,0.4635,0.6633,False
unsw_zero: enscal-2000 vs naive-2000,0.2,sensitivity,0.4635,0.6633,False
